INFO flwr 2023-12-19 14:27:18,451 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=400, round_timeout=None)
INFO flwr 2023-12-19 14:27:18,496 | app.py:168 | Flower ECE: gRPC server running (400 rounds), SSL is disabled
INFO flwr 2023-12-19 14:27:18,496 | server.py:86 | Initializing global parameters
INFO flwr 2023-12-19 14:27:18,497 | server.py:273 | Requesting initial parameters from one random client
server booted up. starting clients...
INFO flwr 2023-12-19 14:28:29,790 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
INFO flwr 2023-12-19 14:28:29,802 | server.py:277 | Received initial parameters from one random client
INFO flwr 2023-12-19 14:28:29,803 | server.py:88 | Evaluating initial parameters
DEBUG flwr 2023-12-19 14:28:29,793 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:29,794 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:29,796 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:30,974 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:30,978 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:30,978 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:30,980 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:31,706 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:31,710 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:31,711 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:31,713 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:31,864 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:31,868 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:31,868 | connection.py:39 | ChannelConnectivity.CONNECTING
