log_nc3_nro400_str5_lr0.0001_rho0.5_dsetkinase_iid0_ed0.txt
INFO flwr 2024-02-01 18:13:55,254 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=400, round_timeout=None)
INFO flwr 2024-02-01 18:13:55,583 | app.py:168 | Flower ECE: gRPC server running (400 rounds), SSL is disabled
INFO flwr 2024-02-01 18:13:55,583 | server.py:86 | Initializing global parameters
INFO flwr 2024-02-01 18:13:55,583 | server.py:273 | Requesting initial parameters from one random client
server booted up. starting clients...
INFO flwr 2024-02-01 18:14:04,584 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
INFO flwr 2024-02-01 18:14:04,611 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
INFO flwr 2024-02-01 18:14:04,584 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-02-01 18:14:04,588 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2024-02-01 18:14:04,589 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-02-01 18:14:04,596 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2024-02-01 18:14:04,597 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-02-01 18:14:04,617 | connection.py:39 | ChannelConnectivity.READY
DEBUG flwr 2024-02-01 18:14:04,623 | connection.py:39 | ChannelConnectivity.READY
DEBUG flwr 2024-02-01 18:14:04,623 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2024-02-01 18:14:04,623 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-02-01 18:14:04,633 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2024-02-01 18:14:04,654 | server.py:277 | Received initial parameters from one random client
INFO flwr 2024-02-01 18:14:04,656 | server.py:88 | Evaluating initial parameters
/tudelft.net/staff-bulk/ewi/insy/DBL/swiergarst/envs/flower2en/lib/python3.9/site-packages/torch/nn/modules/container.py:217: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
INFO flwr 2024-02-01 18:14:07,147 | server.py:91 | initial parameters (loss, other metrics): 0.6919144183285426, {'accuracy': 0.5771812080536913}
INFO flwr 2024-02-01 18:14:07,147 | server.py:101 | FL starting
DEBUG flwr 2024-02-01 18:14:07,148 | server.py:218 | fit_round 1: strategy sampled 3 clients (out of 3)
/tudelft.net/staff-bulk/ewi/insy/DBL/swiergarst/envs/flower2en/lib/python3.9/site-packages/torch/nn/modules/container.py:217: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
/tudelft.net/staff-bulk/ewi/insy/DBL/swiergarst/envs/flower2en/lib/python3.9/site-packages/torch/nn/modules/container.py:217: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
/tudelft.net/staff-bulk/ewi/insy/DBL/swiergarst/envs/flower2en/lib/python3.9/site-packages/torch/nn/modules/container.py:217: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
DEBUG flwr 2024-02-01 18:14:34,698 | server.py:232 | fit_round 1 received 3 results and 0 failures
INFO flwr 2024-02-01 18:14:36,949 | server.py:119 | fit progress: (1, 0.6930965549269953, {'accuracy': 0.5279642058165548}, 29.801111785694957)
INFO flwr 2024-02-01 18:14:36,949 | server.py:166 | evaluate_round 1: no clients selected, cancel
DEBUG flwr 2024-02-01 18:14:36,949 | server.py:218 | fit_round 2: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-02-01 18:15:04,217 | server.py:232 | fit_round 2 received 3 results and 0 failures
INFO flwr 2024-02-01 18:15:08,020 | server.py:119 | fit progress: (2, 0.6943285342304534, {'accuracy': 0.43400447427293065}, 60.87219585292041)
INFO flwr 2024-02-01 18:15:08,021 | server.py:166 | evaluate_round 2: no clients selected, cancel
DEBUG flwr 2024-02-01 18:15:08,021 | server.py:218 | fit_round 3: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-02-01 18:15:35,677 | server.py:232 | fit_round 3 received 3 results and 0 failures
INFO flwr 2024-02-01 18:15:39,594 | server.py:119 | fit progress: (3, 0.6957362113800066, {'accuracy': 0.4228187919463087}, 92.44621479371563)
INFO flwr 2024-02-01 18:15:39,594 | server.py:166 | evaluate_round 3: no clients selected, cancel
DEBUG flwr 2024-02-01 18:15:39,594 | server.py:218 | fit_round 4: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-02-01 18:16:07,174 | server.py:232 | fit_round 4 received 3 results and 0 failures
INFO flwr 2024-02-01 18:16:11,106 | server.py:119 | fit progress: (4, 0.6973874961942995, {'accuracy': 0.4228187919463087}, 123.95825567096472)
INFO flwr 2024-02-01 18:16:11,106 | server.py:166 | evaluate_round 4: no clients selected, cancel
DEBUG flwr 2024-02-01 18:16:11,106 | server.py:218 | fit_round 5: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-02-01 18:16:38,406 | server.py:232 | fit_round 5 received 3 results and 0 failures
INFO flwr 2024-02-01 18:16:42,373 | server.py:119 | fit progress: (5, 0.6992233652972724, {'accuracy': 0.4228187919463087}, 155.22570092976093)
INFO flwr 2024-02-01 18:16:42,374 | server.py:166 | evaluate_round 5: no clients selected, cancel
DEBUG flwr 2024-02-01 18:16:42,374 | server.py:218 | fit_round 6: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-02-01 18:17:09,772 | server.py:232 | fit_round 6 received 3 results and 0 failures
INFO flwr 2024-02-01 18:17:13,709 | server.py:119 | fit progress: (6, 0.7011668685246827, {'accuracy': 0.4228187919463087}, 186.5617922968231)
INFO flwr 2024-02-01 18:17:13,710 | server.py:166 | evaluate_round 6: no clients selected, cancel
DEBUG flwr 2024-02-01 18:17:13,710 | server.py:218 | fit_round 7: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-02-01 18:17:41,024 | server.py:232 | fit_round 7 received 3 results and 0 failures
INFO flwr 2024-02-01 18:17:44,967 | server.py:119 | fit progress: (7, 0.703204549073188, {'accuracy': 0.4228187919463087}, 217.819462840911)
INFO flwr 2024-02-01 18:17:44,967 | server.py:166 | evaluate_round 7: no clients selected, cancel
DEBUG flwr 2024-02-01 18:17:44,967 | server.py:218 | fit_round 8: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-02-01 18:18:12,302 | server.py:232 | fit_round 8 received 3 results and 0 failures
INFO flwr 2024-02-01 18:18:16,254 | server.py:119 | fit progress: (8, 0.7052978648151172, {'accuracy': 0.4228187919463087}, 249.10630513401702)
INFO flwr 2024-02-01 18:18:16,254 | server.py:166 | evaluate_round 8: no clients selected, cancel
DEBUG flwr 2024-02-01 18:18:16,254 | server.py:218 | fit_round 9: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-02-01 18:18:43,650 | server.py:232 | fit_round 9 received 3 results and 0 failures
INFO flwr 2024-02-01 18:18:47,587 | server.py:119 | fit progress: (9, 0.7074076447265087, {'accuracy': 0.4228187919463087}, 280.4398706560023)
INFO flwr 2024-02-01 18:18:47,588 | server.py:166 | evaluate_round 9: no clients selected, cancel
DEBUG flwr 2024-02-01 18:18:47,588 | server.py:218 | fit_round 10: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-02-01 18:19:14,898 | server.py:232 | fit_round 10 received 3 results and 0 failures
INFO flwr 2024-02-01 18:19:18,851 | server.py:119 | fit progress: (10, 0.7094873915419265, {'accuracy': 0.4228187919463087}, 311.7032080036588)
INFO flwr 2024-02-01 18:19:18,851 | server.py:166 | evaluate_round 10: no clients selected, cancel
DEBUG flwr 2024-02-01 18:19:18,851 | server.py:218 | fit_round 11: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-02-01 18:19:46,156 | server.py:232 | fit_round 11 received 3 results and 0 failures
INFO flwr 2024-02-01 18:19:50,094 | server.py:119 | fit progress: (11, 0.7115198779804219, {'accuracy': 0.4228187919463087}, 342.9460238618776)
INFO flwr 2024-02-01 18:19:50,094 | server.py:166 | evaluate_round 11: no clients selected, cancel
DEBUG flwr 2024-02-01 18:19:50,094 | server.py:218 | fit_round 12: strategy sampled 3 clients (out of 3)
DEBUG flwr 2024-02-01 18:20:17,395 | server.py:232 | fit_round 12 received 3 results and 0 failures
INFO flwr 2024-02-01 18:20:21,254 | server.py:119 | fit progress: (12, 0.7134507610634114, {'accuracy': 0.4228187919463087}, 374.1065370789729)
